label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle
Good,170.28283223838702,132.06495980604265,32.458493297215,39.43243771817415
Good,171.28814525417408,136.9363706013023,27.711293077804786,44.93511870863751
Good,173.7498418451848,145.87829298617604,28.442005936416976,46.872956395757356
Good,135.1285831271706,152.4913851701092,17.97549252239505,52.594900270230006
Good,171.15434900227092,155.22274338430168,44.61886664420967,55.30959603320365
Good,156.73825868245862,155.1988894189287,27.197121093748493,56.68426681256709
Good,141.0638362664616,151.13036204319587,22.940877420653763,55.677994991593096
Good,141.31926022887217,156.42092788027523,18.61615129973659,60.34824255354603
Good,163.91439400198632,151.10912698822312,26.938914025604042,56.891803897249176
Good,166.56808941868644,154.77525906844238,25.169246049488805,60.95549126347372
Good,176.30537841309695,149.96218643438655,35.979316100011864,57.53941436190819
Good,156.15081915350265,147.53438439550783,60.627514221824235,54.80803308492676
Good,163.7099882345901,149.96063232006168,48.78957131922758,52.37386708541399
Good,171.29174345033198,152.35386927215498,65.69748457497059,52.6232545621909
Good,159.10786325843657,145.9326326469156,63.445679157425445,48.87466964549212
Good,176.28496130213327,146.78268145503583,48.66906086230764,49.261231249693644
Good,169.50418835880862,146.752845326432,48.90587090417993,44.24417473997067
Good,163.25678420154233,142.20016599593623,38.31452849905066,42.670982500033105
Good,148.81138700810678,134.16160656318306,19.250839811087722,41.168910915404275
Good,129.27163277552916,136.30479327964034,18.333700477671673,43.410107757720766
Good,111.43438190995218,129.5281781442764,1.8141166845427994,33.75885820511328
Good,123.87722605463023,125.12310531198219,4.52685014039486,27.82462236390867
Good,120.06375307379986,120.04347022276573,7.366053923830468,22.099795199620825
Good,124.64773530004118,121.66070854282208,4.8416605847745355,22.00692347561558
Good,120.15903454472269,123.89497136752999,7.674816654059116,20.703755598038693
Good,120.44376910606519,125.77710204617696,10.022518670694998,22.170529216899958
Good,120.02523690492063,125.2772286063555,12.29424465276395,19.310206467922615
Good,112.27370623271574,127.06542430742931,12.091496388016552,17.81218563591046
Good,112.5966026762739,127.93614589876185,14.11377019565646,13.698242523321605
Good,110.97578397439591,135.75623665662619,9.739428702579907,15.505495154440485
Good,111.329530404754,136.9558597665785,7.8183373702453665,11.541714704995826
Good,109.91383676254438,124.02535376563785,7.880648258106146,8.938905553053957
Good,105.92512658585616,102.42379293172013,6.815386606335876,2.766375909034433
Good,106.8068890441995,103.28820775151735,2.9453091968809866,2.0736656693988498
Good,110.14904335324752,107.6853668655522,2.097113154407552,5.961410068116923
Good,112.11750227448451,118.33159497336084,1.7966792005999,10.970959476284772
Good,118.33895830218728,116.25293177551677,11.439312934655613,8.744016422384307
Good,124.00609976016997,120.35180099246779,15.583026567809558,10.872199065887497
Good,121.35391724038789,123.96808845962511,10.82288300016861,11.504179881749444
Good,127.10290496875916,134.211531581576,16.16403066789729,14.378934751304042
Good,134.54078170784695,130.2260827652945,19.934441717954506,16.059719822404574
Good,135.578981464542,133.8409330967166,20.62409297035324,14.478360501082657
Good,131.6031727654558,131.33295660993278,16.721717540824088,13.306175236792058
Good,133.48392037478342,132.1601310623225,17.04815362750182,13.076257655628458
Good,131.91703733322154,126.92021236462975,17.477928135497134,11.82472978203687
Good,138.00910419948323,131.54648350143518,23.028016385188106,15.535020389664629
Good,135.05113065181737,132.28048454166137,22.497504009740187,17.268122607173346
Good,138.28954172122954,139.22965588641154,25.658390079584706,21.08005079808405
Good,132.01924587659136,135.9738052115137,20.724598292164035,18.973013941763522
Good,137.91165640311428,136.13259842515697,20.964452803552092,16.127054378957933
Good,137.93149250834045,140.14268732952118,22.73912356043633,16.852232389110462
Good,138.47833083466327,142.4077461413077,22.406556719122246,16.30258111434348
Good,139.859706130734,142.43297123882417,22.881259359781463,17.60755805161661
Good,142.43471264434822,141.94332928089605,24.306567674070227,17.19113344550901
Good,140.43068720121116,141.61839458211873,21.394088267792828,16.71020674916344
Good,142.20552649316465,147.05663359038857,23.817039568443086,18.89995721854333
Good,142.58238886465,142.65172277078713,25.56550261840825,20.28907770257907
Good,139.65971632239447,142.67314815864242,23.23470587112152,19.013050499454195
Good,142.3069485992589,146.48641107396625,24.306090086135118,18.200054912462612
Good,138.0665191271994,146.24083396086004,20.11086737646325,15.963571204873773
Good,143.74737235272002,146.25796917609185,24.54653788151079,17.467173318830085
Good,142.63540442724292,145.7490483453913,20.508922132251836,13.65238331718075
Good,138.5872720999925,137.06193680175457,18.024845826105945,9.136552729396232
Good,140.8511608556215,141.45038869531723,17.2623450318492,11.220553055261018
Good,140.83034455677426,129.8229434864019,15.178374885670774,4.400580202064808
Good,141.16699462675984,146.00081224648636,16.355251483759023,12.011250213022137
Good,141.1568211178438,127.34972731142307,14.6325227471754,4.592241356995687
Good,140.81443016906888,129.1820335605326,14.245131854018869,4.8863876030065425
Good,139.42052735601789,127.21768605431728,10.435365421010703,3.48432407815526
Good,130.1816028001612,128.48761068880833,4.280360424155515,4.845763589958116
