label,l_elbow,r_elbow,l_shoulder,r_shoulder,l_hip,r_hip,l_knee,r_knee
Good Curl,38.07570121019209,128.96125491259613,30.359345084008066,3.4261796943221436,157.2648296774739,178.19783102848697,162.81536267528384,177.07099946480363
Good Curl,54.269413005993414,135.00627648423773,27.696935748945233,7.336498479091413,159.45803508545268,178.41326062469116,165.8749778449621,179.24501824524157
Good Curl,177.74960327880387,128.74238338023804,21.095480138025287,17.58087653353318,167.52084060979715,179.4931221321456,175.55825668512043,178.66538106313584
Good Curl,176.3103239999053,135.8856878492129,19.615847446044707,17.424726102864184,166.8264090907189,179.5932802662207,175.3676006136212,179.9991486278487
Good Curl,160.16833527993452,148.04945518204823,8.647280413740337,13.256968376122623,161.88939043688507,178.1227374372494,162.61616374960073,176.19141157260998
Good Curl,159.57407369734196,148.88542209052466,5.949900548656266,14.895173327839515,162.74408026951446,178.0777835542158,159.93780212234321,177.50367440677292
Good Curl,160.3628906792209,152.77973674135833,3.4833105091553906,15.029297398344564,164.37613146610335,179.56416595024123,157.9358431392273,177.3497372491304
Good Curl,162.24540592918106,149.52421061827508,1.4611993441792785,16.224592727039344,169.24724852617493,177.7980544934429,163.0295031711487,177.4673078000549
Good Curl,153.71924460946818,145.78424442075126,3.1931980775253628,18.580538105889755,171.06387937482614,178.4777445071462,166.64686250140034,175.93174310963005
Good Curl,161.46860725705034,147.81918042220187,1.6130382445612503,15.927774176413465,173.29789446485606,179.09652567456948,168.9823122804432,175.0725845319704
Good Curl,158.70071645074555,148.44287058195147,2.554980222938058,12.906698455383406,174.6306267713224,178.69657059947468,171.08734784427529,172.35083127690027
Good Curl,153.0655321920062,144.0618539218384,0.6020140326722608,8.166114192245159,177.9127960588937,178.86631781699003,175.92907220648584,172.50468399338666
Good Curl,149.2780662937961,141.67988780646866,1.8966223522099799,7.074033535415083,177.4735700760223,178.15734328810208,173.33690789405418,171.82209165658261
Good Curl,145.39006592031365,142.83075061199276,6.274992498852315,6.794060132757213,176.07040400889466,176.58129228027093,170.91110839640913,170.39701356898584
Good Curl,150.6088202362993,146.30855631864821,5.952845212279317,5.288468054214132,173.69289618431281,175.88167575111166,169.57702979346715,168.34415553744344
Good Curl,147.50065828223623,149.12592424885628,5.256176103107079,3.5846575300624504,173.08512586853792,174.40277130215318,168.19467453795073,168.5763143573305
Good Curl,146.10301665404305,147.24621665180365,3.7535491491485837,1.1360403182935095,174.82468826309503,174.5532788170552,169.0778911506439,170.20378696294753
Good Curl,147.81168186310762,146.46348139637652,2.4629258161287417,0.6088337909675551,175.72923251791167,174.68425026460073,172.72281598032245,173.42427566792625
Good Curl,148.3195893444668,148.31296346839653,1.856038115243767,1.2126099056258979,176.77822332263364,175.75536224951153,174.93997297905148,174.8149021176185
Good Curl,150.16771033298514,149.08560150237287,2.204221680840452,1.1506676990688163,174.81242822359235,174.67661054090632,170.82803346066396,174.05138842310777
Good Curl,150.8163419012628,147.83679330732716,1.9710162251490886,0.19277003115175165,174.92216961199395,174.52226278608407,171.1383274746106,173.69344197160132
Good Curl,147.62007737967835,147.62966001774248,3.893752859286058,0.03261349284643784,176.25608767554198,175.15645459283405,174.26974709699033,174.52006828886837
Good Curl,146.0490088527759,147.2736870472196,3.483678409190574,0.47013973795309744,176.98774315534473,175.53426128210518,175.10627161910878,174.36905744206803
Good Curl,148.9632342061491,148.1893101456133,3.9924187086373153,0.6569522054339666,178.1326301976276,177.0535544972403,177.035739618343,175.8268450498118
Good Curl,152.1945722815396,150.29622172458014,3.6682270122551226,0.7353056864495014,177.80314159599337,177.58680865573157,177.26961022799807,175.6083850678349
Good Curl,149.52044947712386,148.91919463872648,5.387437452567119,1.6964106844910651,178.92709398992372,177.7071790300852,175.8719837367782,174.72832129024152
Good Curl,151.67478507444122,147.48824844498387,4.993046580527299,2.825109560431063,179.9887731514765,178.03457648085998,176.02334815553218,176.01997591233064
Good Curl,155.8425594673744,146.03176857521004,4.5056703765201345,3.09801145033944,176.29657006294207,176.48390464405878,173.44302479949556,174.23718106703282
Good Curl,150.3483465244849,144.16806467214516,4.675818284101207,3.3907563745653673,176.63141489214877,176.29122104261413,174.0052408116286,174.9463599417607
Good Curl,152.7070718966138,144.20473451917925,4.997695190250453,4.647360653680597,177.3081081905669,176.68261252371533,173.15308527406268,173.53791508348348
Good Curl,153.137905489914,146.01441265902594,6.143329457197301,4.013080870394674,179.0298508134779,177.48814996616971,176.3394794926851,175.21036369174303
Good Curl,153.7358704999444,146.02716918140422,5.651809475262431,3.3775714020081242,179.78178925528903,177.9365957003722,177.91344396847674,176.51238178268096
Good Curl,151.36993053829423,144.03625604559025,6.269013151475718,4.777078207468148,178.1396057676961,179.82765197534414,178.7610981390355,178.59486373194542
